iter	Passed	Remaining
941	23368	1438
942	23392	1413
943	23415	1389
944	23440	1364
945	23463	1339
946	23488	1314
947	23510	1289
948	23535	1264
949	23559	1239
950	23581	1215
951	23608	1190
952	23631	1165
953	23659	1140
954	23684	1116
955	23707	1091
956	23730	1066
957	23755	1041
958	23779	1016
959	23805	991
960	23828	967
961	23852	942
962	23875	917
963	23900	892
964	23923	867
965	23946	842
966	23971	818
967	23992	793
968	24016	768
969	24038	743
970	24062	718
971	24089	693
972	24113	669
973	24137	644
974	24161	619
975	24188	594
976	24211	569
977	24235	545
978	24258	520
979	24285	495
980	24308	470
981	24334	446
982	24360	421
983	24386	396
984	24409	371
985	24434	346
986	24456	322
987	24480	297
988	24503	272
989	24526	247
990	24552	222
991	24575	198
992	24600	173
993	24623	148
994	24646	123
995	24669	99
996	24692	74
997	24717	49
998	24742	24
999	24766	0
